# Questo è il file degli oggetti
# I commenti iniziano per #, le righe vuote vengono ignorate
# struttura: nome, rarità, immagine, isPassive, OnUseAction, OnUseAction Param, <stat, effetto>

Common Soul Heart,Common,Red Heart,true,Nothing,1.23,CURRENT_HEALTH,1
Brave Soul Heart,Rare,Green Heart,true,Nothing,,CURRENT_HEALTH,2
Hero Soul Heart,Mystic,Blue Heart,true,Nothing,,CURRENT_HEALTH,3

Phantom Dust, Common, Blue Clessidra,true,,,TEMP_DISTORSION,3

Holy Sign, Common, Holy Sign,true,Nothing,Holy,DAMAGE,1

Blue Fire Ball, Common, Blue Bubble,true,BallColor,Blue,DAMAGE,1
Blood Ball, Rare, Red Bubble,true,BallColor,Red, CURRENT_HEALTH, -2, DAMAGE, 1
Sun Ball, Rare, Green Bubble, true,BallColor,Green, DAMAGE, 2, SPEED, 0.3

Adrenaline, Rare, Purple Bottle, true,,, SPEED, 1
# Band-aid, Common, band-aid, true,,, CURRENT_HEALTH, 1

# Pact with the Devil, Mystic, pactdevil, true, ....
# Shadow shadows,...
# Karma...

Shadow Armor, Common, Red Armor, true,,, DEFENCE, 0.1
Dark Armor, Rare, Green Armor, true,,, DEFENCE, 0.2
Death Armor, Mystic, Blue Armor, true,,, DEFENCE, 0.5

# Eye In The Sky,Common,hearts3, true,,, CURRENT_HEALTH, 1, DAMAGE, 1
# Impatience, Rare, impatience, true,,, DAMAGE, 2, TEMP_DISTORSION, -5
